ソニー	名詞,固有名詞,*,*,ソニー
発売	名詞,サ変接続,*,*,発売
し	動詞,自立,サ変・スル,連用形,する
ＰＳＶＲ	名詞,一般,*,*,ＰＳＶＲ
ＶＲ	名詞,一般,*,*,ＶＲ
楽しめる	動詞,自立,一段,基本形,楽しめる
端末	名詞,一般,*,*,端末
本命	名詞,一般,*,*,本命
期待	名詞,サ変接続,*,*,期待
さ	動詞,自立,サ変・スル,未然レル接続,する
れ	動詞,接尾,一段,連用形,れる
いる	動詞,非自立,一段,基本形,いる
そこ	名詞,代名詞,*,*,そこ
ない	形容詞,自立,形容詞・アウオ段,基本形,ない
空間	名詞,一般,*,*,空間
入り込ん	動詞,自立,五段・マ行,連用タ接続,入り込む
体験	名詞,サ変接続,*,*,体験
できる	動詞,自立,一段,基本形,できる
ＶＲ	名詞,一般,*,*,ＶＲ
ゲーム	名詞,一般,*,*,ゲーム
親和	名詞,サ変接続,*,*,親和
性	名詞,接尾,*,*,性
高く	形容詞,自立,形容詞・アウオ段,連用テ接続,高い
業界	名詞,一般,*,*,業界
活性	名詞,一般,*,*,活性
化	名詞,接尾,*,*,化
さ	動詞,自立,サ変・スル,未然レル接続,する
せ	動詞,接尾,一段,連用形,せる
そう	名詞,接尾,*,*,そう
ゲーム	名詞,一般,*,*,ゲーム
以外	名詞,非自立,*,*,以外
幅広い	形容詞,自立,形容詞・アウオ段,基本形,幅広い
分野	名詞,一般,*,*,分野
ビジネスチャンス	名詞,一般,*,*,ビジネスチャンス
生まれ	動詞,自立,一段,連用形,生まれる
多く	名詞,副詞可能,*,*,多く
人	名詞,一般,*,*,人
ライフスタイル	名詞,一般,*,*,ライフスタイル
変える	動詞,自立,一段,基本形,変える
可能	名詞,形容動詞語幹,*,*,可能
性	名詞,接尾,*,*,性
秘め	動詞,自立,一段,連用形,秘める
いる	動詞,非自立,一段,基本形,いる
ＰＳＶＲ	名詞,固有名詞,*,*,ＰＳＶＲ
本命	名詞,一般,*,*,本命
視	名詞,接尾,*,*,視
さ	動詞,自立,サ変・スル,未然レル接続,する
れる	動詞,接尾,一段,基本形,れる
世界	名詞,一般,*,*,世界
４	名詞,数,*,*,４
千	名詞,数,*,*,千
万	名詞,数,*,*,万
台	名詞,接尾,*,*,台
以上	名詞,非自立,*,*,以上
普及	名詞,サ変接続,*,*,普及
し	動詞,自立,サ変・スル,連用形,する
いる	動詞,非自立,一段,基本形,いる
家庭	名詞,一般,*,*,家庭
用	名詞,接尾,*,*,用
ゲーム	名詞,一般,*,*,ゲーム
機	名詞,接尾,*,*,機
ＰＳ	名詞,一般,*,*,ＰＳ
４	名詞,数,*,*,４
利用	名詞,サ変接続,*,*,利用
者	名詞,接尾,*,*,者
自宅	名詞,一般,*,*,自宅
手軽	名詞,形容動詞語幹,*,*,手軽
ＶＲ	名詞,一般,*,*,ＶＲ
楽しめる	動詞,自立,一段,基本形,楽しめる
高性能	名詞,一般,*,*,高性能
端末	名詞,一般,*,*,端末
米	名詞,固有名詞,*,*,米
フェイス	名詞,一般,*,*,フェイス
ブック	名詞,一般,*,*,ブック
傘下	名詞,一般,*,*,傘下
オキュラス	名詞,一般,*,*,オキュラス
販売	名詞,サ変接続,*,*,販売
し	動詞,自立,サ変・スル,連用形,する
いる	動詞,非自立,一段,基本形,いる
１	名詞,数,*,*,１
０	名詞,数,*,*,０
万	名詞,数,*,*,万
円	名詞,接尾,*,*,円
以上	名詞,非自立,*,*,以上
パソコン	名詞,一般,*,*,パソコン
つなが	動詞,自立,五段・ガ行,未然形,つなぐ
十分	名詞,形容動詞語幹,*,*,十分
機能	名詞,サ変接続,*,*,機能
発揮	名詞,サ変接続,*,*,発揮
でき	動詞,自立,一段,未然形,できる
うえ	名詞,非自立,*,*,うえ
端末	名詞,一般,*,*,端末
高価	名詞,形容動詞語幹,*,*,高価
ＰＳＶＲ	名詞,一般,*,*,ＰＳＶＲ
カプコン	名詞,固有名詞,*,*,カプコン
人気	名詞,一般,*,*,人気
シリーズ	名詞,一般,*,*,シリーズ
バイオ	名詞,一般,*,*,バイオ
ハザード	名詞,一般,*,*,ハザード
新作	名詞,サ変接続,*,*,新作
優良	名詞,形容動詞語幹,*,*,優良
コンテンツ	名詞,一般,*,*,コンテンツ
多く	形容詞,自立,形容詞・アウオ段,連用テ接続,多い
投入	名詞,サ変接続,*,*,投入
さ	動詞,自立,サ変・スル,未然レル接続,する
れる	動詞,接尾,一段,基本形,れる
見通し	名詞,一般,*,*,見通し
ＶＲ	名詞,一般,*,*,ＶＲ
コンサート	名詞,一般,*,*,コンサート
中継	名詞,サ変接続,*,*,中継
用途	名詞,一般,*,*,用途
ある	動詞,自立,五段・ラ行,基本形,ある
同社	名詞,一般,*,*,同社
辻本	名詞,固有名詞,*,*,辻本
春	名詞,一般,*,*,春
弘	名詞,固有名詞,*,*,弘
社長	名詞,一般,*,*,社長
インタラクティブ	名詞,一般,*,*,インタラクティブ
相互	名詞,一般,*,*,相互
作用	名詞,サ変接続,*,*,作用
重要	名詞,形容動詞語幹,*,*,重要
有望	名詞,形容動詞語幹,*,*,有望
ゲーム	名詞,一般,*,*,ゲーム
強調	名詞,サ変接続,*,*,強調
する	動詞,自立,サ変・スル,基本形,する
スマート	名詞,固有名詞,*,*,スマート
フォン	名詞,一般,*,*,フォン
向け	名詞,接尾,*,*,向け
ゲーム	名詞,一般,*,*,ゲーム
存在	名詞,サ変接続,*,*,存在
感	名詞,接尾,*,*,感
高まっ	動詞,自立,五段・ラ行,連用タ接続,高まる
い	動詞,非自立,一段,連用形,いる
ＰＳＶＲ	名詞,固有名詞,*,*,ＰＳＶＲ
発売	名詞,サ変接続,*,*,発売
家庭	名詞,一般,*,*,家庭
用	名詞,接尾,*,*,用
ゲーム	名詞,一般,*,*,ゲーム
機	名詞,接尾,*,*,機
注目	名詞,サ変接続,*,*,注目
度	名詞,接尾,*,*,度
高まる	動詞,自立,五段・ラ行,基本形,高まる
見通し	名詞,一般,*,*,見通し
任天堂	名詞,固有名詞,*,*,任天堂
来年	名詞,副詞可能,*,*,来年
３月	名詞,副詞可能,*,*,３月
新型	名詞,一般,*,*,新型
ゲーム	名詞,一般,*,*,ゲーム
機	名詞,接尾,*,*,機
発売	名詞,サ変接続,*,*,発売
する	動詞,自立,サ変・スル,基本形,する
予定	名詞,サ変接続,*,*,予定
ＶＲ	名詞,一般,*,*,ＶＲ
注目	名詞,サ変接続,*,*,注目
さ	動詞,自立,サ変・スル,未然レル接続,する
れる	動詞,接尾,一段,基本形,れる
応用	名詞,サ変接続,*,*,応用
範囲	名詞,一般,*,*,範囲
広	形容詞,自立,形容詞・アウオ段,ガル接続,広い
１	名詞,数,*,*,１
３	名詞,数,*,*,３
日	名詞,接尾,*,*,日
提供	名詞,サ変接続,*,*,提供
始まっ	動詞,自立,五段・ラ行,連用タ接続,始まる
ＰＳＶＲ	名詞,一般,*,*,ＰＳＶＲ
コンテンツ	名詞,一般,*,*,コンテンツ
２	名詞,数,*,*,２
６	名詞,数,*,*,６
ある	動詞,自立,五段・ラ行,基本形,ある
純粋	名詞,形容動詞語幹,*,*,純粋
ゲーム	名詞,一般,*,*,ゲーム
半分	名詞,副詞可能,*,*,半分
程度	名詞,接尾,*,*,程度
コンサート	名詞,一般,*,*,コンサート
舞台	名詞,一般,*,*,舞台
観賞	名詞,サ変接続,*,*,観賞
姫路城	名詞,固有名詞,*,*,姫路城
観光	名詞,サ変接続,*,*,観光
疑似	名詞,一般,*,*,疑似
体験	名詞,サ変接続,*,*,体験
できる	動詞,自立,一段,基本形,できる
映像	名詞,一般,*,*,映像
コンテンツ	名詞,一般,*,*,コンテンツ
目立つ	動詞,自立,五段・タ行,基本形,目立つ
ゲーム	名詞,一般,*,*,ゲーム
雑誌	名詞,一般,*,*,雑誌
ファミ	名詞,一般,*,*,ファミ
通	名詞,接尾,*,*,通
発行	名詞,サ変接続,*,*,発行
する	動詞,自立,サ変・スル,基本形,する
カドカワ	名詞,一般,*,*,カドカワ
浜村	名詞,固有名詞,*,*,浜村
弘一	名詞,固有名詞,*,*,弘一
取締役	名詞,一般,*,*,取締役
ＰＳＶＲ	名詞,固有名詞,*,*,ＰＳＶＲ
ただ	名詞,一般,*,*,ただ
ゲーム	名詞,一般,*,*,ゲーム
周辺	名詞,一般,*,*,周辺
機器	名詞,一般,*,*,機器
進化	名詞,サ変接続,*,*,進化
し	動詞,自立,サ変・スル,連用形,する
モニター	名詞,一般,*,*,モニター
とらえる	動詞,自立,一段,基本形,とらえる
指摘	名詞,サ変接続,*,*,指摘
する	動詞,自立,サ変・スル,基本形,する
ＶＲ	名詞,一般,*,*,ＶＲ
ビジネス	名詞,一般,*,*,ビジネス
活用	名詞,サ変接続,*,*,活用
する	動詞,自立,サ変・スル,基本形,する
動き	名詞,一般,*,*,動き
拡大	名詞,サ変接続,*,*,拡大
し	動詞,自立,サ変・スル,連用形,する
いる	動詞,非自立,一段,基本形,いる
三菱地所	名詞,固有名詞,*,*,三菱地所
マンション	名詞,一般,*,*,マンション
内覧	名詞,サ変接続,*,*,内覧
ＶＲ	名詞,一般,*,*,ＶＲ
活用	名詞,サ変接続,*,*,活用
メルセデス・ベンツ日本	名詞,固有名詞,*,*,メルセデス・ベンツ日本
ＶＲ	名詞,一般,*,*,ＶＲ
車両	名詞,一般,*,*,車両
確認	名詞,サ変接続,*,*,確認
できる	動詞,自立,一段,基本形,できる
クルマ	名詞,一般,*,*,クルマ
置か	動詞,自立,五段・カ行イ音便,未然形,置く
ショールーム	名詞,一般,*,*,ショールーム
期間	名詞,一般,*,*,期間
限定	名詞,サ変接続,*,*,限定
開設	名詞,サ変接続,*,*,開設
し	動詞,自立,サ変・スル,連用形,する
ＮＴＴデータ	名詞,固有名詞,*,*,ＮＴＴデータ
プロ	名詞,一般,*,*,プロ
野球	名詞,一般,*,*,野球
選手	名詞,一般,*,*,選手
ＶＲ	名詞,一般,*,*,ＶＲ
打撃	名詞,一般,*,*,打撃
練習	名詞,サ変接続,*,*,練習
できる	動詞,自立,一段,基本形,できる
システム	名詞,一般,*,*,システム
開発	名詞,サ変接続,*,*,開発
し	動詞,自立,サ変・スル,連用形,する
海外	名詞,一般,*,*,海外
展開	名詞,サ変接続,*,*,展開
進める	動詞,自立,一段,基本形,進める
ＶＲ	名詞,一般,*,*,ＶＲ
ゴーグル	名詞,一般,*,*,ゴーグル
型	名詞,接尾,*,*,型
ヘッド	名詞,一般,*,*,ヘッド
セット	名詞,一般,*,*,セット
大きく	形容詞,自立,形容詞・イ段,連用テ接続,大きい
重い	形容詞,自立,形容詞・アウオ段,基本形,重い
体験	名詞,サ変接続,*,*,体験
気分	名詞,一般,*,*,気分
悪く	形容詞,自立,形容詞・アウオ段,連用テ接続,悪い
なる	動詞,自立,五段・ラ行,基本形,なる
ＶＲ	名詞,一般,*,*,ＶＲ
酔い	名詞,接尾,*,*,酔い
克服	名詞,サ変接続,*,*,克服
す	動詞,自立,サ変・スル,文語基本形,する
課題	名詞,一般,*,*,課題
ある	動詞,自立,五段・ラ行,基本形,ある
調査	名詞,サ変接続,*,*,調査
会社	名詞,一般,*,*,会社
トレンドフォース	名詞,一般,*,*,トレンドフォース
２	名詞,数,*,*,２
０	名詞,数,*,*,０
２	名詞,数,*,*,２
０	名詞,数,*,*,０
年	名詞,接尾,*,*,年
ＶＲ	名詞,一般,*,*,ＶＲ
市場	名詞,一般,*,*,市場
７	名詞,数,*,*,７
０	名詞,数,*,*,０
０	名詞,数,*,*,０
億	名詞,数,*,*,億
ドル	名詞,接尾,*,*,ドル
７	名詞,数,*,*,７
兆	名詞,数,*,*,兆
円	名詞,接尾,*,*,円
予測	名詞,サ変接続,*,*,予測
する	動詞,自立,サ変・スル,基本形,する
技術	名詞,一般,*,*,技術
革新	名詞,サ変接続,*,*,革新
新しい	形容詞,自立,形容詞・イ段,基本形,新しい
需要	名詞,一般,*,*,需要
期待	名詞,サ変接続,*,*,期待
大きい	形容詞,自立,形容詞・イ段,基本形,大きい
先頭	名詞,一般,*,*,先頭
打者	名詞,一般,*,*,打者
四死球	名詞,一般,*,*,四死球
与える	動詞,自立,一段,基本形,与える
失点	名詞,サ変接続,*,*,失点
つながり	動詞,自立,五段・ラ行,連用形,つながる
やすい	形容詞,非自立,形容詞・アウオ段,基本形,やすい
－。	名詞,サ変接続,*,*,－。
野球	名詞,一般,*,*,野球
界	名詞,接尾,*,*,界
ささやか	動詞,自立,五段・カ行イ音便,未然形,ささやく
れる	動詞,接尾,一段,基本形,れる
定説	名詞,一般,*,*,定説
真実	名詞,一般,*,*,真実
検証	名詞,サ変接続,*,*,検証
する	動詞,自立,サ変・スル,基本形,する
ため	名詞,非自立,*,*,ため
担当	名詞,サ変接続,*,*,担当
する	動詞,自立,サ変・スル,基本形,する
阪神タイガース	名詞,固有名詞,*,*,阪神タイガース
今季	名詞,副詞可能,*,*,今季
１	名詞,数,*,*,１
４	名詞,数,*,*,４
３	名詞,数,*,*,３
試合	名詞,サ変接続,*,*,試合
先頭	名詞,一般,*,*,先頭
打者	名詞,一般,*,*,打者
打席	名詞,一般,*,*,打席
結果	名詞,副詞可能,*,*,結果
イニング	名詞,一般,*,*,イニング
ごと	名詞,接尾,*,*,ごと
得点	名詞,サ変接続,*,*,得点
結果	名詞,副詞可能,*,*,結果
記録	名詞,サ変接続,*,*,記録
し	動詞,自立,サ変・スル,連用形,する
き	動詞,非自立,カ変・クル,連用形,くる
結果	名詞,副詞可能,*,*,結果
ここ	名詞,代名詞,*,*,ここ
報告	名詞,サ変接続,*,*,報告
し	動詞,自立,サ変・スル,連用形,する
阪神	名詞,固有名詞,*,*,阪神
今年	名詞,副詞可能,*,*,今年
攻撃	名詞,サ変接続,*,*,攻撃
回	名詞,接尾,*,*,回
１	名詞,数,*,*,１
２	名詞,数,*,*,２
８	名詞,数,*,*,８
２	名詞,数,*,*,２
回	名詞,接尾,*,*,回
守備	名詞,サ変接続,*,*,守備
回	名詞,接尾,*,*,回
１	名詞,数,*,*,１
２	名詞,数,*,*,２
８	名詞,数,*,*,８
０	名詞,数,*,*,０
回	名詞,接尾,*,*,回
あっ	動詞,自立,五段・ラ行,連用タ接続,ある
６月	名詞,副詞可能,*,*,６月
２	名詞,数,*,*,２
４	名詞,数,*,*,４
日	名詞,接尾,*,*,日
広島	名詞,固有名詞,*,*,広島
戦	名詞,接尾,*,*,戦
マツダ	名詞,固有名詞,*,*,マツダ
九	名詞,数,*,*,九
回	名詞,接尾,*,*,回
先頭	名詞,一般,*,*,先頭
中谷	名詞,固有名詞,*,*,中谷
遊撃	名詞,一般,*,*,遊撃
内野	名詞,一般,*,*,内野
安打	名詞,一般,*,*,安打
